"Story","Title","Result","Date","Stability","Duration (s)"
"Perform authentication on website","Login to the platform with valid data","SUCCESS","2022-04-28T18:56:41.7303637-05:00[America/Bogota]","0.0","27.32"
"Perform authentication on website","Login to the platform with invalid data","SUCCESS","2022-04-28T18:57:12.7269325-05:00[America/Bogota]","0.0","12.77"
"Create an account on the website","Successful registration on the website","SUCCESS","2022-04-28T18:56:41.7303637-05:00[America/Bogota]","0.0","29.84"
"Create an account on the website","Registration to the platform with email already registered","SUCCESS","2022-04-28T18:57:13.6558799-05:00[America/Bogota]","0.0","19.24"
"Buy products through the website","Purchase without attaching proof of payment","SUCCESS","2022-04-28T18:56:41.7293644-05:00[America/Bogota]","0.0","42.95"
"Buy products through the website","Buy by entering the payment receipt number","SUCCESS","2022-04-28T18:57:29.9556295-05:00[America/Bogota]","0.0","19.12"
