"Story","Title","Result","Date","Stability","Duration (s)"
"Buy products through the website","Purchase without attaching proof of payment","SUCCESS","2022-04-28T18:56:41.7293644-05:00[America/Bogota]","0.0","42.95"
"Buy products through the website","Buy by entering the payment receipt number","SUCCESS","2022-04-28T18:57:29.9556295-05:00[America/Bogota]","0.0","19.12"
