"Story","Title","Result","Date","Stability","Duration (s)"
"Perform authentication on website","Login to the platform with valid data","SUCCESS","2022-04-28T18:56:41.7303637-05:00[America/Bogota]","0.0","27.32"
"Perform authentication on website","Login to the platform with invalid data","SUCCESS","2022-04-28T18:57:12.7269325-05:00[America/Bogota]","0.0","12.77"
